,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,86,8,4,0,6,26,0,22,0,22,0,35,0,0,24,1,1,111,7,41,9,0,2,0,0,0,1,0,2
blu,0,182,0,0,0,22,0,18,18,17,12,0,2,3,2,9,41,1,14,1,2,48,21,0,0,0,0,3,16
brb,4,0,105,0,0,1,36,8,2,2,7,3,23,27,28,43,17,2,0,5,73,21,0,3,4,6,4,3,5
cla,1,0,0,9,0,0,0,5,0,0,3,0,0,0,10,0,12,1,0,0,0,0,2,0,0,3,0,2,0
con,40,17,5,0,18,12,8,4,6,26,4,12,0,2,9,7,11,14,28,35,3,26,7,2,2,0,0,2,12
cou,7,35,1,4,6,99,0,9,28,38,9,1,0,0,5,0,14,12,7,3,0,14,12,1,0,10,4,6,11
dnb,17,0,36,0,6,0,255,26,0,1,0,3,13,4,4,6,2,3,3,0,24,4,0,10,7,1,1,1,5
dtp,9,17,17,15,9,10,19,88,3,6,5,2,6,16,56,3,28,18,19,12,23,30,3,20,31,9,14,11,5
fol,9,4,0,0,0,0,1,0,4,9,5,0,0,0,1,1,2,0,1,5,0,0,1,0,0,3,0,2,0
gld,10,19,1,0,5,43,0,13,3,80,7,3,3,0,4,0,15,19,59,20,2,38,4,0,3,7,0,1,1
gos,0,20,0,0,0,5,0,3,12,0,36,0,0,0,0,0,8,0,10,0,0,5,10,0,0,4,1,1,5
hcp,49,0,3,0,8,0,2,2,0,3,0,55,5,4,11,0,2,105,4,15,5,0,0,4,1,1,0,0,0
hct,1,2,9,0,0,0,24,13,1,1,11,8,194,24,53,3,2,2,8,1,3,3,0,13,18,3,1,6,4
hou,5,1,19,1,1,0,9,14,4,4,1,1,49,187,17,10,1,0,27,2,8,42,1,38,68,1,1,4,6
ind,25,4,5,3,1,2,7,35,0,16,2,36,13,55,126,5,7,47,17,36,2,10,1,16,24,4,0,2,3
jam,8,6,18,0,0,0,13,5,8,4,0,1,0,1,1,259,5,0,2,1,48,34,3,0,0,0,7,9,23
jaz,1,68,5,6,0,11,3,38,3,17,2,1,1,10,3,35,194,1,10,2,14,50,0,1,0,6,10,4,8
met,58,7,0,0,6,7,0,3,0,11,0,69,1,0,31,0,3,328,16,16,10,3,3,0,2,2,0,0,0
pop,22,24,32,0,13,19,6,16,13,38,18,12,3,27,47,11,4,57,78,32,30,84,8,14,0,4,1,9,2
pwv,24,8,0,0,8,10,0,1,0,40,0,38,0,0,8,11,1,36,12,111,0,28,6,0,0,0,0,1,5
rap,2,5,27,1,1,0,9,1,0,2,0,2,21,7,1,49,4,1,6,0,273,16,1,3,2,0,0,0,10
rnb,7,34,8,0,3,3,16,23,2,38,16,1,0,7,0,16,49,1,22,26,32,219,15,1,0,2,0,6,53
rnr,1,10,0,0,0,18,0,11,7,20,11,1,0,0,2,8,5,2,1,2,0,35,72,0,0,7,0,0,0
tec,4,0,12,0,1,0,11,21,0,2,0,2,33,61,3,6,2,0,3,0,2,0,0,49,74,0,0,0,2
tra,1,0,10,0,0,2,6,12,0,0,0,0,10,40,1,2,0,0,3,0,1,4,0,43,196,0,1,2,2
uti,0,1,0,5,0,10,0,3,3,0,7,0,0,0,2,0,10,3,8,0,0,0,1,0,0,91,0,0,0
woA,0,1,0,0,0,2,2,11,0,1,2,0,0,0,0,4,4,0,0,0,0,7,2,0,0,0,33,23,4
woB,2,6,1,0,0,0,0,4,0,0,3,0,16,3,1,22,12,0,1,0,10,0,0,0,0,4,0,59,0
woC,3,9,4,0,0,7,0,6,2,11,1,0,1,3,4,22,5,0,9,4,5,17,1,2,3,0,3,1,69
