epoch,train_loss,train_accuracy,val_loss,val_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1,supergenre_accuracy,supergenre_top3_accuracy,mean_distance,std_distance
1,5.201813933205983,0.06725255083041633,5.199320360178056,0.05825914935707221,0.1396636962890625,0.19871413707733154,0.05078659232561115,0.05800189393939395,0.03779651522082654,0.2380811078140455,0.4032640949554896,3.293174982070923,1.8291078805923462
2,5.021152699939789,0.182517812368114,5.198046862548466,0.06805143422354105,0.16943620145320892,0.246389701962471,0.08259537852531534,0.06476814516129033,0.04829905680598865,0.23254203758654798,0.41968348170128583,3.49129581451416,1.9703694581985474
3,4.938976530044798,0.3048087187507758,5.126898954931046,0.0950544015825915,0.21127596497535706,0.29901087284088135,0.09387052824252251,0.0909188873402583,0.07058808180825693,0.27457962413452025,0.4771513353115727,3.255786418914795,2.0239572525024414
4,4.879392889567784,0.40351530498249794,5.158496713308152,0.0904055390702275,0.21147377789020538,0.29357072710990906,0.10203614456600718,0.0854316942018555,0.07484092901573054,0.27863501483679526,0.4717111770524233,3.148268938064575,1.9805350303649902
5,4.834864330291748,0.4791837342667759,5.088499527420889,0.11918892185954501,0.25499504804611206,0.34124627709388733,0.11786742182134292,0.11631151666433924,0.09483619171382097,0.31107814045499504,0.49693372898120675,2.835806131362915,1.883474588394165
6,4.772733431770688,0.6007546982448301,5.08119689298077,0.11928783382789318,0.25034618377685547,0.34015825390815735,0.12114088003584507,0.11362582310162954,0.10071077095597016,0.31602373887240354,0.503461918892186,2.931849718093872,1.935860514640808
7,4.749529634203229,0.6357587944688563,5.078039666429589,0.11859545004945599,0.25034618377685547,0.34223538637161255,0.12107664121816109,0.11401432349012994,0.09992498275677895,0.3255192878338279,0.5149357072205737,2.7884273529052734,1.849636197090149
8,4.732186867698791,0.6604850922271046,5.074845207197376,0.12967359050445104,0.2682492434978485,0.3531157076358795,0.12954143573571372,0.1262756452776614,0.11277926812367985,0.33402571711177054,0.529080118694362,2.7274975776672363,1.8456156253814697
9,4.698077170054118,0.7195451950050893,5.069864509131623,0.13521266073194857,0.2636003792285919,0.349258154630661,0.13247603484828815,0.13076226528847495,0.11692692265644807,0.3468842729970326,0.5141444114737883,2.6684470176696777,1.8530608415603638
10,4.685046018872942,0.7364514287132892,5.071189695484678,0.13372898120672602,0.2682492434978485,0.34817013144493103,0.1276463477487221,0.13042558919575048,0.11603308784091285,0.34263105835806135,0.5282888229475766,2.6390702724456787,1.8258312940597534
11,4.677168126333328,0.7517191728110028,5.084805590934263,0.13006923837784373,0.25994065403938293,0.3451038599014282,0.12610696882247951,0.12712672632027472,0.11112221857409524,0.33956478733926804,0.5150346191889219,2.698120594024658,1.8663066625595093
