,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,116,4,2,0,4,11,0,12,0,35,1,23,0,1,32,0,3,62,5,80,2,4,10,0,0,0,0,0,1
blu,1,133,0,1,2,8,1,9,36,57,18,0,2,0,5,18,39,0,6,3,3,65,16,4,0,4,0,0,1
brb,6,1,95,1,1,1,40,15,2,2,2,9,37,27,15,24,14,3,6,3,76,20,1,26,4,1,0,0,0
cla,0,0,6,15,0,0,0,2,0,3,1,0,4,0,6,0,6,0,0,1,0,0,0,1,0,3,0,0,0
con,37,6,2,0,11,8,3,8,2,47,2,10,2,8,15,7,10,11,18,50,4,39,10,2,0,0,0,0,0
cou,14,18,1,0,0,76,1,5,59,55,4,1,0,0,6,0,33,9,4,2,0,28,19,1,0,0,0,0,0
dnb,9,0,31,1,0,0,264,25,0,3,0,4,30,3,8,10,0,1,1,7,15,4,0,15,1,0,0,0,0
dtp,8,3,12,11,6,7,22,123,8,19,3,1,4,17,38,3,42,4,16,1,49,33,5,32,37,0,0,0,0
fol,3,2,0,0,0,1,0,5,5,15,3,1,0,0,2,0,2,0,1,0,0,2,1,0,0,5,0,0,0
gld,16,13,2,0,4,6,2,7,3,154,2,0,0,3,18,4,15,6,23,25,3,23,25,3,3,0,0,0,0
gos,0,19,1,2,3,1,2,8,5,3,21,0,2,0,0,3,21,0,2,0,0,18,5,1,0,2,0,0,1
hcp,52,0,2,0,4,2,3,2,0,16,0,67,1,9,7,0,0,74,2,24,4,1,1,5,3,0,0,0,0
hct,1,0,14,0,1,0,31,11,1,4,14,0,193,18,37,2,1,0,0,5,2,3,0,49,19,0,0,2,0
hou,4,0,28,3,1,0,9,6,0,4,0,0,33,195,7,7,7,0,13,5,11,47,3,65,67,0,7,0,0
ind,21,5,2,6,1,0,12,34,3,29,1,12,10,46,116,3,7,31,15,64,11,6,3,23,39,4,0,0,0
jam,3,4,20,1,0,1,17,3,7,5,0,0,3,19,4,207,11,0,3,16,77,40,12,3,0,0,0,0,0
jaz,0,32,12,11,0,5,2,28,2,33,3,1,1,9,6,22,254,0,0,3,23,39,13,3,0,0,0,2,0
met,69,7,1,0,10,2,1,8,0,33,0,61,0,0,27,0,2,260,4,67,11,3,2,7,1,0,0,0,0
pop,34,26,28,0,21,8,8,14,11,67,1,9,21,48,16,3,9,23,86,49,12,99,15,11,3,1,0,1,0
pwv,35,2,0,0,2,6,0,0,0,44,2,28,0,3,27,22,0,33,13,105,1,8,11,6,0,0,0,0,0
rap,1,1,31,0,0,0,5,4,0,9,0,0,6,44,6,35,3,0,5,3,269,11,1,10,0,0,0,0,0
rnb,18,18,9,1,4,1,16,8,1,55,3,0,0,15,9,26,52,0,31,18,50,238,22,3,0,1,0,1,0
rnr,4,9,0,1,2,17,0,3,11,31,5,0,0,0,11,10,10,0,5,7,0,36,48,0,0,3,0,0,0
tec,2,0,7,0,0,0,9,14,0,0,0,0,20,53,6,1,2,0,6,0,8,1,0,85,74,0,0,0,0
tra,3,0,5,0,0,1,8,14,0,2,0,0,11,53,2,0,0,0,11,0,0,0,0,26,200,0,0,0,0
uti,0,0,0,16,0,4,0,11,3,3,13,0,0,1,3,0,17,1,4,2,0,0,10,0,0,56,0,0,0
woA,0,1,0,0,0,4,1,3,0,7,0,0,0,0,1,7,18,0,0,1,5,11,0,0,0,0,18,15,4
woB,0,0,1,0,0,1,3,9,3,4,9,0,3,12,3,20,22,0,0,0,13,4,2,11,0,0,2,22,0
woC,1,6,9,2,0,0,1,12,2,16,1,0,1,0,9,14,12,0,1,2,10,45,0,2,4,0,0,4,38
