,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,118,5,3,0,2,7,0,12,1,52,1,17,4,2,35,2,1,61,6,68,1,2,4,2,1,0,0,1,0
blu,1,149,0,1,0,12,2,10,35,32,24,0,0,0,1,15,39,1,3,1,3,61,30,6,0,3,0,0,3
brb,13,3,97,1,2,1,52,26,2,6,3,7,26,31,21,34,13,0,4,0,37,22,1,20,9,1,0,0,0
cla,1,1,1,8,0,0,0,11,4,0,1,0,7,0,6,0,4,0,0,0,0,0,2,0,0,2,0,0,0
con,47,12,2,0,11,16,4,8,1,45,6,11,0,10,21,8,5,7,25,38,3,24,3,1,2,1,0,0,1
cou,9,10,2,1,1,89,0,9,52,37,3,0,2,0,8,1,23,8,5,9,0,19,45,1,0,1,1,0,0
dnb,3,3,17,0,1,1,291,19,1,6,0,1,19,5,8,6,12,4,2,0,9,1,0,16,4,0,0,0,3
dtp,5,3,15,15,1,2,32,150,1,18,6,1,2,23,21,4,31,4,17,8,30,18,5,38,46,6,0,2,0
fol,7,5,0,0,1,2,0,16,4,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0
gld,23,13,1,4,2,25,0,15,1,142,2,1,0,1,17,1,6,6,29,17,0,31,14,5,4,0,0,0,0
gos,5,30,0,0,1,2,0,12,11,0,28,0,1,1,1,3,7,0,0,0,0,10,4,2,0,0,0,2,0
hcp,47,1,1,1,9,0,0,6,0,10,0,56,2,10,9,0,0,84,2,34,3,0,0,2,2,0,0,0,0
hct,3,0,33,1,0,0,26,14,3,5,4,0,178,22,41,3,3,1,1,9,4,8,1,24,21,0,0,3,0
hou,5,0,26,0,0,0,16,12,2,8,0,0,41,184,13,4,5,0,13,7,7,27,1,83,62,0,2,2,2
ind,20,0,8,2,4,1,8,32,2,19,0,21,8,29,140,0,11,48,19,48,0,1,5,36,41,0,0,0,1
jam,9,2,29,0,0,2,9,7,6,6,0,0,0,12,1,237,19,0,4,13,59,26,7,8,0,0,0,0,0
jaz,1,38,20,10,0,11,2,36,6,25,6,0,0,21,17,31,226,2,3,0,9,30,2,4,0,2,0,1,1
met,46,11,2,0,6,3,0,5,0,24,0,73,0,2,47,1,4,265,4,56,7,6,7,1,6,0,0,0,0
pop,44,9,44,0,7,10,6,21,27,83,7,9,5,37,17,3,9,21,78,48,5,81,17,30,3,1,0,0,2
pwv,35,5,0,0,3,4,0,2,0,36,0,21,0,19,22,22,0,30,9,116,2,7,7,3,2,0,0,0,3
rap,1,0,46,0,0,0,7,8,0,4,0,4,1,32,2,55,7,0,2,2,247,16,0,6,4,0,0,0,0
rnb,2,35,4,0,2,11,20,19,5,64,5,3,0,12,11,17,47,0,26,24,39,221,21,8,0,3,0,1,0
rnr,7,9,0,0,0,14,0,7,13,22,5,0,0,2,7,6,17,0,6,9,0,35,53,0,0,0,0,1,0
tec,0,0,17,1,0,0,8,18,0,0,0,0,26,41,14,1,4,0,1,2,3,0,1,74,77,0,0,0,0
tra,0,0,3,0,2,1,7,17,0,1,0,0,4,45,6,0,0,0,10,1,1,1,0,36,200,0,0,0,1
uti,0,5,0,26,0,1,0,8,12,2,14,0,0,1,2,1,19,0,1,1,0,2,3,1,0,45,0,0,0
woA,0,0,0,1,0,0,0,1,1,3,0,0,1,1,4,6,19,0,0,0,1,14,1,0,0,1,31,10,1
woB,0,0,4,0,0,0,3,20,6,0,2,0,7,4,2,19,12,0,0,0,9,10,2,8,3,0,4,29,0
woC,1,4,8,1,0,1,1,11,3,9,3,1,5,3,6,19,14,0,2,3,14,26,3,5,4,0,2,4,39
