,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,135,0,2,1,7,12,0,16,0,38,2,20,0,0,16,1,3,67,5,68,5,3,6,0,0,1,0,0,0
blu,0,129,1,0,1,10,1,16,29,44,9,0,0,4,6,11,56,2,1,4,1,63,35,3,0,4,0,0,2
brb,7,6,90,1,1,1,37,13,0,3,0,1,27,44,16,21,19,3,11,4,61,31,2,22,9,2,0,0,0
cla,1,0,4,7,0,0,0,11,0,0,8,0,6,0,6,0,2,0,0,0,0,0,0,0,2,1,0,0,0
con,51,11,5,0,4,17,3,10,0,44,1,10,4,13,18,6,7,2,21,44,4,20,10,5,2,0,0,0,0
cou,14,18,2,1,3,105,0,6,29,41,5,5,0,0,6,1,32,1,6,6,0,28,27,0,0,0,0,0,0
dnb,8,0,30,0,2,0,270,14,0,7,0,4,15,8,9,7,2,1,4,11,18,3,3,14,2,0,0,0,0
dtp,16,3,20,6,4,5,23,116,0,27,3,2,2,24,52,3,24,3,22,11,29,24,4,39,37,5,0,0,0
fol,11,3,0,2,0,0,0,6,4,8,3,0,0,0,5,0,1,1,1,0,0,1,0,0,0,2,0,0,0
gld,15,9,9,3,6,19,0,6,1,126,1,0,1,1,7,0,14,6,37,33,4,41,19,1,1,0,0,0,0
gos,1,12,1,2,0,0,0,6,3,10,52,0,0,0,1,0,4,0,0,0,2,17,9,0,0,0,0,0,0
hcp,57,0,2,0,25,0,1,3,0,11,0,73,0,10,7,0,0,57,2,24,2,1,0,2,2,0,0,0,0
hct,1,1,29,0,2,0,27,11,1,4,10,0,178,20,44,0,0,0,2,2,2,3,2,48,17,0,2,2,0
hou,1,0,31,2,0,0,8,7,1,9,0,0,42,192,17,10,7,1,9,6,4,30,1,80,64,0,0,0,0
ind,28,2,8,2,1,1,6,33,3,31,0,28,17,29,150,3,8,24,12,44,1,10,5,24,33,1,0,0,0
jam,7,8,19,0,8,1,24,8,2,5,3,1,0,12,2,203,20,0,1,18,72,30,6,5,1,0,0,0,0
jaz,1,44,21,5,0,6,1,27,11,23,9,0,0,23,7,19,248,0,8,4,17,24,1,1,0,1,1,0,2
met,72,15,3,2,7,4,2,10,0,35,0,49,0,2,39,0,1,266,4,49,6,1,4,5,0,0,0,0,0
pop,40,13,54,0,10,22,5,15,10,62,14,2,12,31,9,0,19,19,61,51,10,110,13,27,15,0,0,0,0
pwv,27,5,3,0,1,10,1,2,0,36,0,28,3,12,26,21,0,23,13,116,2,11,7,0,1,0,0,0,0
rap,2,0,47,0,1,0,4,5,0,2,0,1,2,19,4,35,9,0,1,2,271,27,1,10,0,0,0,1,0
rnb,5,23,20,0,0,2,13,13,3,64,8,0,0,11,6,26,60,1,38,20,44,226,15,1,0,0,0,1,0
rnr,7,1,0,0,0,25,5,4,8,25,7,0,0,2,7,7,22,0,12,8,0,31,40,0,0,2,0,0,0
tec,1,0,15,0,1,0,11,8,0,0,0,0,18,59,4,0,1,0,1,2,7,0,0,91,69,0,0,0,0
tra,0,0,6,0,0,0,0,11,0,0,0,1,6,72,3,0,0,0,5,1,5,0,0,19,207,0,0,0,0
uti,1,2,0,25,0,10,0,4,4,1,19,0,0,0,2,0,21,0,2,0,0,0,2,0,0,51,0,0,0
woA,0,0,2,1,0,2,1,1,2,5,2,0,1,0,1,17,10,0,2,0,2,6,0,1,0,3,20,13,4
woB,0,0,6,0,0,2,17,17,10,0,3,0,0,13,0,24,14,0,0,1,7,9,1,1,0,1,0,18,0
woC,0,0,15,2,1,0,0,15,0,10,1,0,1,4,10,28,8,0,1,3,7,31,1,4,9,0,0,0,41
