Code,Label,Type,Supergenre
cla,CLASSICAL,genre,cla
fol,FOLK,genre,fol
static01,TIN PAN ALLEY POP MUSIC,static,
static02,JUG BANDS SKIFFLE,static,
static03,ELECTRONIC SOUND,static,
uti,UTILITY,genre,uti
wor,WORLD,same-color_cluster,
woA,WORLD CUBAN,super-genre,
woA13,SALSA,genre,woA
woA09,MAMBO,genre,woA
woB,WORLD LATIN,super-genre,
woB02,BOMBA,genre,woB
woB04,BOSSA NOVA,genre,woB
woB05,CALPYSO,genre,woB
woC,WORLD POP,super-genre,
woC08,INDIAN RAGA,genre,woC
woC10,AFROBEAT,genre,woC
woC14,CAJUN,genre,woC
woC07,BHANGRA,genre,woC
woC08,INDIAN RAGA,genre,woC
uti01,RELIGIOUS,static-genre,
uti02,MILITARY,static-genre,
uti03,MUSICALS,static-genre,
hou,HOUSE,super-genre,
jaz,JAZZ,super-genre,
alt,ALTERNATIVE,super-genre,
dtp,DOWNTEMPO,super-genre,
tec,TECHNO,super-genre,
rnr,ROCK 'N' ROLL,super-genre,
cou,COUNTRY,super-genre,
pwv,PUNK / WAVE,super-genre,
pop,POP,super-genre,
brb,BREAKBEAT,super-genre,
gld,GOLDEN AGE,super-genre,
met,METAL,super-genre,
rnb,RHYTHM 'N' BLUES,super-genre,
blu,BLUES,super-genre,
hct,HARDCORE TECHNO,super-genre,
tra,TRANCE,super-genre,
hcp,HARDCORE PUNK,super-genre,
jam,JAMAICAN,super-genre,
con,CONTEMPORARY,super-genre,
dnb,DRUM 'N' BASS,super-genre,
rap,RAP,super-genre,
ind,INDUSTRIAL,super-genre,
gos,GOSPEL,super-genre,
rock,ROCK,same-color_cluster,
blue_note,BLUE NOTE,same-color_cluster,
breakbeat_dance,BREAKBEAT DANCE,same-color_cluster,
four_to_the_floor,FOUR TO THE FLOOR,same-color_cluster,
edm,ELECTRONIC DANCE MUSIC,same-color_cluster,
heavy,HEAVY,cross-color_cluster,
poprock,POP-ROCK,cross-color_cluster,
rhythm,RHYTHM MUSIC,cross-color_cluster,
electronic,ELECTRONIC MUSIC,cross-color_cluster,
hou02,ACID HOUSE,genre,hou
jaz14,ACID JAZZ / JAZZDANCE,genre,jaz
alt07,ALTERNATIVE ROCK / INDIE II,genre,alt
dtp06,AMBIENT,genre,dtp
dtp11,AMBIENT BREAKS &ILLBIENT,genre,dtp
dtp09,AMBIENT HOUSE / CHILL-OUT,genre,dtp
tec03,AMBIENT TECHNO &IDM (INTELLIGENT DANCE MUSIC),genre,tec
rnr03,AMERICAN &BRITISH FOLK REVIVAL,genre,rnr
cou11,AMERICANA / ALTERNATIVE COUNTRY,genre,cou
