split,genre,file_path,filename,num_segments,num_selected_segments
test,folk,folk/folk-6-Alan Stivell-Tri Martolod .m4a,folk-6-Alan Stivell-Tri Martolod ,14,24
train,folk,folk/folk-5-Joan Baez-House of the Rising Sun .m4a,folk-5-Joan Baez-House of the Rising Sun ,20,24
train,folk,folk/folk-3-Fairport Convention-Matty Groves .m4a,folk-3-Fairport Convention-Matty Groves ,32,24
train,folk,"folk/folk-7-Peter, Paul and Mary-Where Have All the Flowers Gone .m4a","folk-7-Peter, Paul and Mary-Where Have All the Flowers Gone ",16,24
train,folk,folk/folk-1-Jean Ritchie-Black Waters .m4a,folk-1-Jean Ritchie-Black Waters ,14,24
train,folk,folk/folk-8-Odetta-Cotton Fields .m4a,folk-8-Odetta-Cotton Fields ,12,24
train,folk,folk/folk-2-Hedningarna-Kruspolska .m4a,folk-2-Hedningarna-Kruspolska ,12,24
train,folk,folk/folk-4-Doc Watson-Deep River Blues .m4a,folk-4-Doc Watson-Deep River Blues ,12,24
val,folk,folk/folk-9-Garmarna-Herr Mannelig .m4a,folk-9-Garmarna-Herr Mannelig ,24,24
val,folk,folk/folk-0-The Chieftains-The Foggy Dew .m4a,folk-0-The Chieftains-The Foggy Dew ,20,24
test,alt01,alt01/alt01-5-Camper Van Beethoven-Take the Skinheads Bowling.m4a,alt01-5-Camper Van Beethoven-Take the Skinheads Bowling,10,24
train,alt01,alt01/alt01-7-Dream Syndicate-Bullet with My Name On It.m4a,alt01-7-Dream Syndicate-Bullet with My Name On It,24,24
train,alt01,alt01/alt01-6-Live-Operation Spirit.m4a,alt01-6-Live-Operation Spirit,14,24
train,alt01,alt01/alt01-0-The Pixies-Where Is My Mind.m4a,alt01-0-The Pixies-Where Is My Mind,14,24
train,alt01,alt01/alt01-1-The Smiths-There Is a Light that Never Goes Out.m4a,alt01-1-The Smiths-There Is a Light that Never Goes Out,16,24
train,alt01,alt01/alt01-4-The Replacements-Alex Chilton.m4a,alt01-4-The Replacements-Alex Chilton,14,24
train,alt01,alt01/alt01-8-Green on Red-Time Ain’t Nothing.m4a,alt01-8-Green on Red-Time Ain’t Nothing,12,24
train,alt01,alt01/alt01-9-The Rain Parade-No Easy Way Down.m4a,alt01-9-The Rain Parade-No Easy Way Down,26,24
val,alt01,alt01/alt01-3-Orange Juice-Felicity.m4a,alt01-3-Orange Juice-Felicity,10,24
val,alt01,alt01/alt01-2-R.E.M.-Losing My Religion.m4a,alt01-2-R.E.M.-Losing My Religion,18,24
test,alt02,alt02/alt02-4-The Melvins-A History of Bad Men.m4a,alt02-4-The Melvins-A History of Bad Men,26,24
test,alt02,alt02/alt02-2-Butthole Surfers-Who Was In My Room Last Night_.m4a,alt02-2-Butthole Surfers-Who Was In My Room Last Night_,12,24
train,alt02,alt02/alt02-6-The Boredoms-Acid Police.m4a,alt02-6-The Boredoms-Acid Police,18,24
train,alt02,alt02/alt02-0-Sonic Youth-Cotton Crown.m4a,alt02-0-Sonic Youth-Cotton Crown,20,24
train,alt02,alt02/alt02-7-No Trend-Too Many Humans.m4a,alt02-7-No Trend-Too Many Humans,14,24
train,alt02,alt02/alt02-8-Lightning Bolt-Dracula Mountain.m4a,alt02-8-Lightning Bolt-Dracula Mountain,20,24
train,alt02,alt02/alt02-1-Helmet-Unsung.m4a,alt02-1-Helmet-Unsung,14,24
train,alt02,alt02/alt02-3-The Jesus Lizard-Nub.m4a,alt02-3-The Jesus Lizard-Nub,10,24
val,alt02,alt02/alt02-5-Pussy Galore-Evil Eye.m4a,alt02-5-Pussy Galore-Evil Eye,12,24
test,alt03,alt03/alt03-2-AR Kane-Green Hazed Daze.m4a,alt03-2-AR Kane-Green Hazed Daze,12,24
test,alt03,alt03/alt03-3-My Bloody Valentine-When You Sleep.m4a,alt03-3-My Bloody Valentine-When You Sleep,16,24
train,alt03,alt03/alt03-8-Slowdive-Crazy for You.m4a,alt03-8-Slowdive-Crazy for You,18,24
train,alt03,alt03/alt03-4-The Jesus & Mary Chain-Just Like Honey.m4a,alt03-4-The Jesus & Mary Chain-Just Like Honey,12,24
train,alt03,alt03/alt03-9-The Snake Corps-…this is Seagull.m4a,alt03-9-The Snake Corps-…this is Seagull,42,24
train,alt03,alt03/alt03-1-This Mortal Coil-Song to the Siren.m4a,alt03-1-This Mortal Coil-Song to the Siren,12,24
train,alt03,alt03/alt03-7-Chapterhouse-Pearl.m4a,alt03-7-Chapterhouse-Pearl,20,24
train,alt03,alt03/alt03-11-Happy Mondays-24 Hour Party People.m4a,alt03-11-Happy Mondays-24 Hour Party People,12,24
train,alt03,alt03/alt03-5-The Telescopes-Celeste.m4a,alt03-5-The Telescopes-Celeste,10,24
train,alt03,alt03/alt03-0-The Cocteau Twins-Pearly Pewdrops’ Drops.m4a,alt03-0-The Cocteau Twins-Pearly Pewdrops’ Drops,20,24
val,alt03,alt03/alt03-6-Curve-Horror Head.m4a,alt03-6-Curve-Horror Head,14,24
val,alt03,alt03/alt03-10-Stone Roses-I Wanna Be Adored.m4a,alt03-10-Stone Roses-I Wanna Be Adored,18,24
test,alt04,alt04/alt04-9-Babes in Toyland-Bruise Violet.m4a,alt04-9-Babes in Toyland-Bruise Violet,12,24
train,alt04,alt04/alt04-5-Green River-Unwind.m4a,alt04-5-Green River-Unwind,18,24
train,alt04,alt04/alt04-1-Pearl Jam-Alive.m4a,alt04-1-Pearl Jam-Alive,18,24
train,alt04,alt04/alt04-8-Mother Love Bone-Bone China.m4a,alt04-8-Mother Love Bone-Bone China,14,24
train,alt04,alt04/alt04-0-Nirvana-Smells Like Teen Spirit.m4a,alt04-0-Nirvana-Smells Like Teen Spirit,18,24
train,alt04,alt04/alt04-2-Stone Temple Pilots-Plush.m4a,alt04-2-Stone Temple Pilots-Plush,20,24
train,alt04,alt04/alt04-4-Alice in Chains-Man in the Box.m4a,alt04-4-Alice in Chains-Man in the Box,18,24
train,alt04,alt04/alt04-6-Hole-Celebrity Skin.m4a,alt04-6-Hole-Celebrity Skin,10,24
val,alt04,alt04/alt04-3-Soundgarden-Black Hole Sun.m4a,alt04-3-Soundgarden-Black Hole Sun,20,24
val,alt04,alt04/alt04-7-Screaming Trees-Dollar Bill.m4a,alt04-7-Screaming Trees-Dollar Bill,18,24
test,alt05,alt05/alt05-4-Red Hot Chili Peppers-Give It Away.m4a,alt05-4-Red Hot Chili Peppers-Give It Away,18,24
train,alt05,alt05/alt05-9-Biohazard & Onyx-Judgement Night.m4a,alt05-9-Biohazard & Onyx-Judgement Night,18,24
train,alt05,alt05/alt05-7-Urban Dance Squad-Demagogue.m4a,alt05-7-Urban Dance Squad-Demagogue,16,24
train,alt05,alt05/alt05-0-Rage Against the Machine-Killing in the Name.m4a,alt05-0-Rage Against the Machine-Killing in the Name,20,24
train,alt05,alt05/alt05-2-Faith No More-Epic.m4a,alt05-2-Faith No More-Epic,16,24
train,alt05,alt05/alt05-8-Helmet & House of Pain-Just Another Victim.m4a,alt05-8-Helmet & House of Pain-Just Another Victim,16,24
train,alt05,alt05/alt05-3-Dog Eat Dog-Who’s The King_.m4a,alt05-3-Dog Eat Dog-Who’s The King_,14,24
train,alt05,alt05/alt05-5-Bloodhound Gang-The Ballad of Chasey Lain.m4a,alt05-5-Bloodhound Gang-The Ballad of Chasey Lain,10,24
val,alt05,alt05/alt05-1-Kid Rock-Bawitdaba.m4a,alt05-1-Kid Rock-Bawitdaba,14,24
val,alt05,alt05/alt05-6-Clawfinger-Nigger.m4a,alt05-6-Clawfinger-Nigger,12,24
test,alt06,alt06/alt06-4-Screeching Weasel-I Wanna Be a Homosexual.m4a,alt06-4-Screeching Weasel-I Wanna Be a Homosexual,12,24
train,alt06,alt06/alt06-0-The Offspring-Come Out and Play.m4a,alt06-0-The Offspring-Come Out and Play,12,24
train,alt06,alt06/alt06-9-No Doubt-Just a Girl.m4a,alt06-9-No Doubt-Just a Girl,12,24
train,alt06,alt06/alt06-2-Pennywise-Bro Hymn.m4a,alt06-2-Pennywise-Bro Hymn,10,24
train,alt06,alt06/alt06-8-New Found Glory-My Friends over You.m4a,alt06-8-New Found Glory-My Friends over You,14,24
train,alt06,alt06/alt06-7-Good Charlotte-The Anthem.m4a,alt06-7-Good Charlotte-The Anthem,10,24
train,alt06,alt06/alt06-6-Blink 182-What’s My Age Again_.m4a,alt06-6-Blink 182-What’s My Age Again_,8,24
train,alt06,alt06/alt06-3-Rancid-Maxwell Murder.m4a,alt06-3-Rancid-Maxwell Murder,4,15
val,alt06,alt06/alt06-5-Sum 41-In Too Deep.m4a,alt06-5-Sum 41-In Too Deep,14,24
val,alt06,alt06/alt06-1-NOFX-Don’t Call Me White.m4a,alt06-1-NOFX-Don’t Call Me White,10,24
test,alt07,alt07/alt07-8-Low-Lullaby.m4a,alt07-8-Low-Lullaby,38,24
